1,19.3
2,25
3,15.1
4,24.7
5,30.5
6,43.2
7,37.2
8,42.8
9,36.4
10,24.8
11,57.4
12,57.3
13,41
14,34.1
15,51.5
16,42.3
17,39.8
18,25
19,51.6
20,49.4
21,43.9
22,43.4
23,37.6
24,32.1
25,25.3
26,20.1
27,20.8
28,45.2
29,33.7
30,31.8
31,41.1
32,43.4
33,27.8
34,42.7
35,54.1
36,72.6
37,46.6
38,51.2
39,19
40,22.6
41,25.1
42,35
43,90.2
44,29.9
45,24.9
46,33.9
47,19.4
48,37.2
49,17.2
50,29.6
51,23.8
52,30.5
53,16.5
54,22.2
55,18.6
56,25.4
57,15.3
58,37.4
59,26.1
60,21.3
61,29.1
62,23.5
63,20.2
64,32.4
65,21
66,14.4
67,22.2
68,9.4
69,18.7
70,6.9
71,13.9
72,6.2
73,17.4
74,6.1
75,11.1
76,12.1
77,13.5
78,17.7
79,23
80,8.8
81,4.3
82,23
83,15.6
84,18.9
85,5
86,19.2
87,11.5
88,14.5
89,10.5
90,2.8
91,11
92,4.6
93,4.8
94,22
95,12.2
96,8.3
97,6.6
98,3.6
99,6
100,25.4
101,13.9
102,14.1
103,35
104,11.6
105,14.8
106,23
107,17.1
108,9.8
109,18.8
110,18.2
111,23.4
112,37.7
113,22.1
114,30
115,22.9
116,45.6
117,34.1
118,14
119,31.1
120,40.8
